"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE","ARC_LENGTH","CURVATURE_MAX_COUNT"
"E4_t10_aug_perturb_Y","3","0","1","2","6","14.64","0","0.06019823309026906","3.1262466345027886","6"
"E4_t11_aug_perturb_X","1","0","1","9","13","24.76","0","0.04217598072064269","4.172716387042197","10"
"E4_t11_aug_perturb_Y","1","0","1","9","13","24.76","0","0.04266572950372624","4.194666017034224","10"
"E4_t12_aug_perturb_X","2","0","1","29","7","27.64","0","0.036114411372969155","3.8172678227887085","11"
"E4_t12_aug_perturb_Y","2","0","1","29","7","27.64","0","0.03775356477568789","3.9426287334702774","16"
"E4_t2_aug_perturb_X","1","1","0","0","0","23.56","0","0.03179230210293434","3.148597404560963","10"
"E4_t2_aug_perturb_Y","1","1","0","0","0","23.56","0","0.03312331528070204","3.2895690391211985","9"
"E4_t3_aug_perturb_X","0","0","0","0","0","17.56","0","0.04988177378134908","3.2722014480723183","6"
"E4_t3_aug_perturb_Y","0","0","0","0","0","17.56","0","0.05045703135474068","3.2961302641450607","5"
"E4_t4_aug_perturb_X","2","0","1","3","0","18.8","0","0.04886226029349049","3.3854346709010583","2"
"E4_t4_aug_perturb_Y","2","0","1","3","0","18.8","0","0.0500970854469427","3.4107990325969637","8"
"E4_t5_aug_perturb_X","1","0","0","0","0","20.56","0","0.042813224914030265","3.690150056249765","9"
"E4_t5_aug_perturb_Y","1","0","0","0","0","20.56","0","0.045296160905054124","3.8218299219627876","6"
"E4_t6_aug_perturb_X","1","0","0","0","0","24.92","0","0.042145916394597235","4.612816056796311","8"
"E4_t6_aug_perturb_Y","1","0","0","0","0","24.92","0","0.044094555178964635","4.784268540968416","7"
"E4_t7_aug_perturb_X","1","1","0","0","2","23.8","0","0.03558391444944626","3.501484619544293","12"
"E4_t7_aug_perturb_Y","1","1","0","0","2","23.8","0","0.03754985710019067","3.698023546313954","12"
"E4_t8_aug_perturb_X","0","0","0","0","0","36.8","0","0.038519818830752485","4.644122904933372","16"
