"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"T3_2_t10_aug_perturb_X","3","0","0","0","3","19.84","0","0.08147576943205806","0.012571271186137845","0.038050072752376055","0.037130692690201285","8.431808135017832","0.8475598253242551","3.078999974978035","7"
"T3_2_t10_aug_perturb_Y","3","0","0","0","3","19.84","0","0.0829479432254512","0.012257941416659568","0.03866663086863246","0.039200707111962003","8.367434723500335","0.8794429565743682","3.266318512261146","2"
"T3_2_t10_aug_pertub_X,perturb_Y","3","0","0","0","3","19.84","0","0.0829479432254512","0.012698334970867425","0.03861118343207366","0.04016481678254424","8.405709752823205","0.9289955900634875","3.1889634909785465","8"
"T3_2_t11_aug_perturb_X","1","1","0","0","1","24.64","0","0.02173156981216453","0.04957534113071578","0.03237609713356807","0.03282433872863579","8.808003057085825","0.7978842476805761","3.256824230414619","11"
"T3_2_t11_aug_perturb_Y","1","1","0","0","1","24.64","0","0.022208423542782737","0.049331244844212876","0.032887032013811074","0.03560234531370992","8.86708759431773","0.9038401262889478","3.1806886356513044","16"
"T3_2_t11_aug_pertub_X,perturb_Y","1","1","0","0","1","24.64","0","0.022208423542782737","0.05013433937832776","0.03221480333346803","0.030925015999315","8.826465241724488","0.7474207351402194","3.1273547308657945","14"
"T3_2_t12_aug_perturb_X","2","0","0","0","6","33.72","0","0.0521353231382682","0.07774021748126","0.04383650016551543","0.035439623068182394","13.064066908059539","0.8823457692028712","5.098765400341553","8"
"T3_2_t12_aug_perturb_Y","2","0","0","0","6","33.72","0","0.05218117008154895","0.07860633599591824","0.04502484370311118","0.03871184651144343","13.168366251794833","0.9881944170902436","5.232240736671651","14"
"T3_2_t12_aug_pertub_X,perturb_Y","2","0","0","0","6","33.72","0","0.05218117008154895","0.07605085832671114","0.04392018048251674","0.03634963070015977","12.856965255964166","0.9073474530852921","5.091444980221731","15"
"T3_2_t2_aug_perturb_X","1","0","0","0","0","15.96","0","0.093484669596334","0.01936487775689117","0.04505982409472191","0.042146573535692455","8.492829301895677","0.7070533333160758","2.846277291060557","3"
"T3_2_t2_aug_perturb_Y","1","0","0","0","0","15.96","0","0.09438524359773358","0.019293875308097962","0.044882725713147324","0.04156931462601523","8.494561224317597","0.7020559846967263","2.836420406025035","5"
"T3_2_t2_aug_pertub_X,perturb_Y","1","0","0","0","0","15.96","0","0.09438524359773358","0.01964600695875189","0.04582129718117851","0.0448130147692221","8.531766199879964","0.7883552042474974","2.9219814119360237","7"
"T3_2_t3_aug_perturb_X","0","0","0","0","0","12.6","0","0.01730917038222933","0.021238789640007704","0.05730026251546321","0.06897623835055604","4.51982249541398","1.1051057891868297","3.1230350877639514","2"
"T3_2_t3_aug_perturb_Y","0","0","0","0","0","12.6","0","0.017127821553178067","0.02107587360162535","0.0576368157768072","0.07019398110560181","4.453613349234823","1.152745186547819","3.0689946451270034","3"
"T3_2_t3_aug_pertub_X,perturb_Y","0","0","0","0","0","12.6","0","0.017127821553178067","0.021786469414136322","0.056961108311453734","0.06786949815106291","4.651248284494812","1.0862805326691078","3.0047222451588205","3"
"T3_2_t4_aug_perturb_X","0","0","0","0","0","15.6","0","0.08139408946716135","0.03146658703919959","0.04894520695478696","0.042904606823828184","9.169114171909936","0.871580484273496","3.3202268589383794","3"
"T3_2_t4_aug_perturb_Y","0","0","0","0","0","15.6","0","0.08190688899151073","0.031088588739229272","0.04920457927098874","0.04667602289694072","8.997521140943046","0.9701377531960329","3.4113656803073935","2"
"T3_2_t4_aug_pertub_X,perturb_Y","0","0","0","0","0","15.6","0","0.08190688899151073","0.031122546787178747","0.048808080635010256","0.044591473272395946","9.189243936131426","0.9280290934817185","3.325729359064005","5"
"T3_2_t5_aug_perturb_X","0","0","0","0","0","13.72","0","0.015291033408491209","0.04796428906868467","0.06880389565946857","0.06687840841368795","6.682348853634253","1.1088264605936093","3.9538433606497594","3"
"T3_2_t5_aug_perturb_Y","0","0","0","0","0","13.72","0","0.01469312483657609","0.046790694511773645","0.07256192562049907","0.0782556737961763","6.647288415432098","1.3246634897067198","4.046153921101947","4"
"T3_2_t5_aug_pertub_X,perturb_Y","0","0","0","0","0","13.72","0","0.01469312483657609","0.04771740697798334","0.06986381359963827","0.06998420013606191","6.820287679947621","1.2104653113551542","3.9556004880735642","2"
"T3_2_t6_aug_perturb_X","3","0","1","7","1","20.76","0","0.0736798153272435","0.039816031746031745","0.05166542020757948","0.05084352751418918","10.211041840686875","1.1636323768854373","4.4550403907401055","5"
"T3_2_t6_aug_perturb_Y","3","0","1","7","1","20.76","0","0.07412072251646565","0.039239997340876694","0.05113589355123076","0.04887724056279786","10.272788276775499","1.079311222657055","4.46855451928881","3"
"T3_2_t6_aug_pertub_X,perturb_Y","3","0","1","7","1","20.76","0","0.07412072251646565","0.037156582470158794","0.05167560574788472","0.053508913649479226","10.183506517697243","1.1815563558097582","4.436105096964575","6"
"T3_2_t7_aug_perturb_X","1","0","0","0","0","24.6","0","0.014840214813057669","0.04227316701833318","0.0323768494288871","0.037020986535485766","7.927952257314858","0.939016991668214","3.4037251445711956","7"
